cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,traffic_light,target_x,target_y,target_area,target_type,parking_area,purple_left,purple_right,Err,dir_raw,dir_cmd
1,0.048,0.0,0.1237,0.1614,0,0,0,0,0,0,-1,305,22,345,0,15692,3842.0,9181.0,335,16.75,5.25
2,0.101,53.34,0.1142,0.1464,0,0,1075,1,1,0,-1,127,49,306,0,15911,3690.0,9244.0,157,7.85,6.16
3,0.151,49.62,0.1108,0.1466,0,0,0,2,1,1,-1,160,0,75,-1,13745,3476.0,9354.0,0,0.0,4.0
4,0.199,47.54,0.1207,0.146,0,0,0,0,1,1,-1,160,0,75,-1,15136,3735.0,9274.0,0,0.0,2.6
5,0.248,49.15,0.1072,0.1351,0,0,0,0,1,1,-1,160,0,75,-1,15872,3649.0,9420.0,0,0.0,1.69
6,0.298,50.58,0.1129,0.1373,0,0,0,0,1,1,-1,160,0,75,-1,15670,3688.0,9332.0,0,0.0,1.1
7,0.347,49.03,0.1087,0.1418,0,0,0,0,1,1,-1,160,0,75,-1,14660,3559.0,9418.0,0,0.0,0.71
8,0.397,49.54,0.1135,0.1365,0,0,0,0,1,1,0,123,30,680,0,15179,3641.0,9730.0,153,7.65,3.14
9,2.021,1624.21,0.1228,0.2324,0,0,0,0,-1,1,0,160,0,75,-1,1000,46.0,6.0,0,0.0,2.04
10,2.076,54.74,0.1126,0.2329,141,0,0,0,-1,1,0,160,0,75,-1,1000,42.0,7.0,0,0.0,1.33
11,2.135,59.24,0.1239,0.231,0,0,0,0,-1,1,0,160,0,75,-1,1000,42.0,8.0,0,0.0,0.86
12,2.181,45.93,0.1145,0.2338,0,0,0,0,-1,1,0,160,0,75,-1,1000,39.0,3.0,0,0.0,0.56
13,2.222,40.65,0.1151,0.2467,0,0,0,0,-1,1,0,160,0,75,-1,1000,34.0,5.0,0,0.0,0.36
14,2.267,45.03,0.1216,0.2487,0,0,0,0,-1,1,0,160,0,75,-1,1000,37.0,3.0,0,0.0,0.24
15,2.312,45.43,0.1103,0.2441,0,0,0,0,-1,1,0,160,0,75,-1,1000,47.0,2.0,0,0.0,0.15
16,2.361,48.36,0.114,0.233,0,0,0,0,-1,1,0,160,0,75,-1,1000,39.0,7.0,0,0.0,0.1
17,2.407,46.04,0.1126,0.2391,0,0,0,0,-1,1,0,160,0,75,-1,1000,42.0,5.0,0,0.0,0.07
18,2.446,39.63,0.1182,0.2357,0,0,0,0,-1,1,0,160,0,75,-1,1000,46.0,3.0,0,0.0,0.04
19,2.489,42.77,0.1102,0.2393,0,0,0,0,-1,1,0,160,0,75,-1,1000,44.0,3.0,0,0.0,0.03
20,2.534,45.34,0.1207,0.2437,0,0,0,0,-1,1,0,160,0,75,-1,1000,43.0,5.0,0,0.0,0.02
21,2.576,41.46,0.1245,0.2408,0,0,0,0,-1,1,0,160,0,75,-1,1000,34.0,8.0,0,0.0,0.01
22,2.622,46.21,0.1221,0.2407,0,0,0,0,-1,1,0,160,0,75,-1,1000,44.0,5.0,0,0.0,0.01
23,2.666,44.27,0.1141,0.2483,0,0,0,0,-1,1,0,160,0,75,-1,1000,32.0,2.0,0,0.0,0.0
24,2.71,43.54,0.121,0.2568,0,0,0,0,-1,1,0,160,0,75,-1,1000,54.0,1.0,0,0.0,0.0
25,2.757,47.65,0.1206,0.253,0,0,0,0,-1,1,0,160,0,75,-1,1000,31.0,19.0,0,0.0,0.0
26,2.799,42.03,0.1205,0.2542,190,0,0,0,-1,1,0,160,0,75,-1,1000,43.0,6.0,0,0.0,0.0
27,2.852,52.37,0.1189,0.2605,165,0,0,0,-1,1,0,160,0,75,-1,1000,45.0,6.0,0,0.0,0.0
28,2.892,39.92,0.1223,0.2668,214,0,0,0,-1,1,0,160,0,75,-1,1000,37.0,1.0,0,0.0,0.0
29,2.945,53.58,0.1219,0.2758,260,0,0,0,-1,1,0,160,0,75,-1,1000,4.0,9.0,0,0.0,0.0
30,2.99,44.45,0.1305,0.2818,283,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,7.0,0,0.0,0.0
31,3.038,47.99,0.1366,0.2991,305,0,0,0,-1,1,0,160,0,75,-1,1000,5.0,1.0,0,0.0,0.0
32,3.086,48.37,0.1441,0.3141,327,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,3.0,0,-9.42,-3.3
33,3.128,41.59,0.1644,0.3422,370,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-10.27,-5.74
34,3.173,45.57,0.1633,0.3502,426,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,0.0,0,-10.5,-7.41
35,3.217,43.97,0.1601,0.3662,499,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,16.0,0,-10.98,-8.66
36,3.263,45.41,0.1819,0.3804,598,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,0.0,0,-11.41,-9.62
37,3.311,48.29,0.1772,0.3764,621,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,3.0,0,-11.29,-10.21
38,3.358,47.42,0.1795,0.3869,838,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,1.0,0,-11.61,-10.7
39,3.402,43.87,0.1784,0.3795,889,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,1.0,0,-11.39,-10.94
40,3.452,49.35,0.1778,0.3791,1010,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,0.0,0,-11.37,-11.09
41,3.493,41.65,0.1841,0.3664,1233,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,1.0,0,-10.99,-11.06
42,3.536,42.97,0.1868,0.3727,1548,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,4.0,0,-11.18,-11.1
43,3.586,50.0,0.1892,0.3653,1795,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,0.0,0,-10.96,-11.05
44,3.628,41.38,0.1803,0.3589,1994,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,3.0,0,-10.77,-10.95
45,3.677,49.31,0.1893,0.3429,2435,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-10.29,-10.72
46,3.723,45.73,0.1885,0.353,2341,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-10.59,-10.67
47,3.768,44.96,0.1964,0.3511,1745,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,1.0,0,-10.53,-10.62
48,3.814,46.39,0.188,0.3512,1466,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-10.53,-10.59
49,3.861,46.64,0.193,0.354,1253,1,0,0,-1,1,0,160,0,75,-1,1000,0.0,0.0,0,-10.62,-10.6
50,4.127,266.09,0.1958,0.3475,0,2,0,0,-1,2,0,160,0,75,-1,1000,0.0,4.0,0,-10.42,-10.54
51,4.171,43.91,0.1515,0.3197,0,0,0,0,-1,2,0,160,0,75,-1,1000,1.0,0.0,0,-9.59,-10.21
52,4.216,45.3,0.1276,0.3218,0,0,0,0,-1,2,0,160,0,75,-1,1000,0.0,1.0,0,-9.65,-10.01
53,4.264,47.84,0.1144,0.3157,0,0,201,0,-1,2,0,160,0,75,-1,1000,1.0,2.0,0,-9.47,-9.82
54,4.31,46.18,0.1163,0.3262,0,0,254,0,-1,2,0,160,0,75,-1,1000,0.0,0.0,0,-9.79,-9.81
55,4.356,45.74,0.1002,0.3377,0,0,276,0,-1,2,0,160,0,75,-1,1000,0.0,2.0,0,-10.13,-9.92
56,4.405,49.7,0.0986,0.3337,0,0,313,0,-1,2,0,160,0,75,-1,1000,0.0,7.0,0,-10.01,-9.95
57,4.453,47.09,0.0901,0.3435,0,0,371,0,-1,2,0,160,0,75,-1,1000,0.0,3.0,0,-10.31,-10.08
58,4.502,49.35,0.0768,0.3469,0,0,414,0,-1,2,0,160,0,75,-1,1000,0.0,3.0,0,-10.41,-10.19
59,4.544,42.51,0.0752,0.3513,0,0,449,0,-1,2,0,160,0,75,-1,1000,0.0,1.0,0,-10.54,-10.31
60,4.59,45.96,0.0763,0.3673,0,0,483,0,-1,2,0,160,0,75,-1,1000,0.0,0.0,0,-11.02,-10.56
61,4.634,43.78,0.0643,0.3719,0,0,563,0,-1,2,0,160,0,75,-1,1000,1.0,0.0,0,-11.16,-10.77
62,4.682,47.56,0.0573,0.3811,0,0,581,0,-1,2,0,160,0,75,-1,1000,0.0,5.0,0,-11.43,-11.0
63,4.728,46.02,0.0337,0.3923,0,0,670,0,-1,2,0,160,0,75,-1,1000,0.0,0.0,0,-11.77,-11.27
64,4.772,44.14,0.0311,0.395,0,0,746,0,-1,2,0,160,0,75,-1,1000,0.0,2.0,0,-11.85,-11.47
65,4.82,48.22,0.0199,0.3977,0,0,854,1,-1,2,0,160,0,75,-1,1000,6.0,1.0,0,-11.93,-11.63
66,4.866,45.92,0.0301,0.3988,0,0,969,1,-1,2,0,160,0,75,-1,1000,33.0,0.0,0,-11.96,-11.75
