cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,traffic_light,target_x,target_y,target_area,target_type,parking_area,purple_left,purple_right,Err,dir_raw,dir_cmd
1,0.041,0.0,0.0802,0.0746,0,0,0,0,0,0,-1,160,0,75,-1,14558,2162.0,11749.0,0,0.0,0.0
2,0.092,50.36,0.1055,0.0976,0,0,0,0,0,0,-1,160,0,75,-1,14423,2231.0,11622.0,0,0.0,0.0
3,0.139,47.82,0.1053,0.1009,0,0,0,0,0,0,-1,160,0,75,-1,14389,2303.0,11619.0,0,0.0,0.0
4,0.191,51.61,0.1031,0.0971,0,0,0,0,0,0,-1,160,0,75,-1,14395,2177.0,11643.0,0,0.0,0.0
5,0.241,49.65,0.0988,0.0998,0,0,0,0,0,0,-1,160,0,75,-1,14458,2270.0,11780.0,0,0.0,0.0
6,0.288,47.4,0.1048,0.1017,0,0,0,0,0,0,-1,160,0,75,-1,14366,2149.0,11712.0,0,0.0,0.0
7,0.335,46.73,0.112,0.096,0,0,0,0,0,0,-1,160,0,75,-1,14415,2262.0,11706.0,0,0.0,0.0
8,0.381,46.27,0.1045,0.0992,0,0,0,0,0,0,-1,160,0,75,-1,14416,2257.0,11751.0,0,0.0,0.0
9,1.983,1601.67,0.1848,0.39,147,0,0,0,-1,0,-1,160,0,75,-1,1000,0.0,6.0,0,-11.7,-4.09
10,2.03,47.27,0.1843,0.391,186,0,0,0,-1,0,-1,160,0,75,-1,1000,0.0,3.0,0,-11.73,-6.77
11,2.076,46.07,0.1847,0.4012,0,0,0,0,-1,0,-1,160,0,75,-1,1000,0.0,11.0,0,-12.04,-8.61
12,2.12,43.54,0.1945,0.4133,154,0,0,0,-1,0,-1,160,0,75,-1,1000,0.0,17.0,0,-12.4,-9.94
13,2.163,43.14,0.1947,0.4183,0,0,0,0,-1,0,-1,160,0,75,-1,1000,0.0,9.0,0,-12.55,-10.85
