cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,traffic_light,target_x,target_y,target_area,target_type,parking_area,purple_left,purple_right,Err,dir_raw,dir_cmd
1,0.042,0.0,0.091,0.0803,0,0,0,0,0,0,-1,160,0,75,-1,17026,3683.0,13040.0,0,0.0,0.0
2,0.096,54.02,0.1088,0.0866,0,0,0,0,0,0,-1,160,0,75,-1,16654,3798.0,12827.0,0,0.0,0.0
3,0.145,49.06,0.1101,0.085,0,0,0,0,0,0,0,309,22,678,0,16684,3650.0,12897.0,339,16.95,5.25
4,0.192,47.1,0.0911,0.0377,0,0,0,0,0,0,0,307,19,712,0,17715,3963.0,13976.0,337,16.85,8.66
5,0.238,45.82,0.0823,0.0078,0,0,0,0,0,0,0,160,0,75,-1,17272,3742.0,13972.0,0,0.0,5.63
6,0.285,47.37,0.071,0.0096,0,0,0,0,0,0,0,160,0,75,-1,16938,3404.0,13875.0,0,0.0,3.66
7,0.332,47.06,0.078,0.0102,0,0,0,0,0,0,0,160,0,75,-1,16256,2950.0,13718.0,0,0.0,2.38
8,0.383,50.18,0.0757,0.0095,0,0,0,0,0,0,0,160,0,75,-1,16233,2933.0,13750.0,0,0.0,1.55
9,1.983,1600.65,0.1559,0.3569,207,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,13.0,0,-10.71,-2.74
10,2.033,49.44,0.168,0.3677,211,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,8.0,0,-11.03,-5.64
11,2.082,49.68,0.1291,0.3584,0,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,8.0,0,-10.75,-7.43
12,2.139,56.23,0.1666,0.3923,224,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,17.0,0,-11.77,-8.95
13,2.185,46.43,0.1798,0.4011,262,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,16.0,0,-12.03,-10.03
14,2.229,43.61,0.1823,0.409,284,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,9.0,0,-12.27,-10.81
15,2.271,42.43,0.1895,0.4077,309,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,11.0,0,-12.23,-11.31
16,2.318,46.71,0.1856,0.4039,362,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,2.0,0,-12.12,-11.59
17,2.363,45.31,0.1864,0.4072,437,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,21.0,0,-12.22,-11.81
18,2.41,46.8,0.1861,0.401,486,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,34.0,0,-12.03,-11.89
19,2.461,50.68,0.1803,0.398,573,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,5.0,0,-11.94,-11.91
20,2.504,43.68,0.1848,0.388,687,0,0,0,-1,0,0,160,0,75,-1,1000,0.0,1.0,0,-11.64,-11.81
21,2.551,47.08,0.1831,0.3915,849,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,4.0,0,-11.75,-11.79
22,2.593,41.52,0.1911,0.3727,1014,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,12.0,0,-11.18,-11.58
23,2.645,52.3,0.1829,0.3726,1210,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,14.0,0,-11.18,-11.44
24,2.694,48.87,0.1816,0.3649,1420,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,24.0,0,-10.95,-11.27
25,2.748,53.52,0.1777,0.3612,1758,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,17.0,0,-10.84,-11.12
26,2.789,41.43,0.1862,0.3558,2120,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,32.0,0,-10.68,-10.96
27,2.842,52.8,0.1866,0.3483,2487,1,0,0,-1,0,0,160,0,75,-1,1000,1.0,20.0,0,-10.45,-10.78
28,2.889,47.1,0.1679,0.3337,2744,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,13.0,0,-10.01,-10.51
29,2.94,51.05,0.1899,0.3385,1880,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,25.0,0,-10.15,-10.39
30,2.988,48.0,0.1797,0.3361,1404,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,11.0,0,-10.08,-10.28
31,3.034,45.94,0.1877,0.3362,1132,1,0,0,-1,0,0,160,0,75,-1,1000,0.0,14.0,0,-10.08,-10.21
32,3.316,281.7,0.1716,0.3304,0,2,0,0,-1,1,0,160,0,75,-1,1000,1.0,8.0,0,-9.91,-10.11
33,3.36,44.39,0.118,0.3149,0,0,0,0,-1,1,0,160,0,75,-1,1000,0.0,12.0,0,-9.45,-9.88
34,3.403,42.88,0.0864,0.3164,0,0,204,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-9.49,-9.74
35,3.448,45.03,0.0793,0.3416,0,0,210,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-10.25,-9.92
36,3.489,41.61,0.067,0.3339,0,0,181,0,-1,1,0,160,0,75,-1,1000,0.0,5.0,0,-10.02,-9.95
37,3.536,46.69,0.0616,0.3458,0,0,260,0,-1,1,0,160,0,75,-1,1000,0.0,7.0,0,-10.38,-10.1
38,3.585,48.41,0.0491,0.345,0,0,300,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-10.35,-10.19
39,3.628,43.09,0.0435,0.3556,0,0,345,0,-1,1,0,160,0,75,-1,1000,0.0,1.0,0,-10.67,-10.36
40,3.676,48.54,0.0452,0.367,0,0,385,0,-1,1,0,160,0,75,-1,1000,0.0,0.0,0,-11.01,-10.58
41,3.722,45.35,0.0396,0.3733,0,0,440,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-11.2,-10.8
42,3.768,46.88,0.0368,0.3779,0,0,502,0,-1,1,0,160,0,75,-1,1000,0.0,2.0,0,-11.34,-10.99
43,3.812,43.52,0.0263,0.3934,0,0,587,0,-1,1,0,160,0,75,-1,1000,5.0,6.0,0,-11.8,-11.27
44,3.862,49.79,0.0182,0.3911,0,0,704,0,-1,1,0,160,0,75,-1,1000,11.0,2.0,0,-11.73,-11.43
45,3.91,47.8,0.0193,0.3969,0,0,780,0,-1,1,0,160,0,75,-1,1000,32.0,1.0,0,-11.91,-11.6
46,3.956,46.94,0.0151,0.3992,0,0,941,1,-1,1,0,160,0,75,-1,1000,89.0,6.0,0,-11.98,-11.73
47,4.011,54.27,0.0081,0.4029,0,0,1141,1,-1,1,0,160,0,75,-1,1000,87.0,9.0,0,-12.09,-11.86
48,4.057,46.3,0.008,0.3971,0,0,1325,1,-1,1,0,160,0,75,-1,1000,129.0,8.0,0,-11.91,-11.88
49,4.101,44.18,0.0101,0.3986,0,0,1862,1,-1,1,0,160,0,75,-1,1000,146.0,12.0,0,-11.96,-11.9
50,4.147,45.49,0.0175,0.3926,0,0,2154,1,-1,1,0,160,0,75,-1,1000,208.0,33.0,0,-11.78,-11.86
51,4.189,42.09,0.0197,0.3916,0,0,2465,1,-1,1,0,160,0,75,-1,1000,196.0,35.0,0,-11.75,-11.82
52,4.236,47.39,0.0203,0.3873,0,0,2883,1,-1,1,0,160,0,75,-1,1000,242.0,46.0,0,-11.62,-11.75
53,4.295,58.69,0.0178,0.3784,0,0,3385,1,-1,1,0,160,0,75,-1,1000,247.0,73.0,0,-11.35,-11.61
54,4.339,44.3,0.0375,0.3785,0,0,2368,1,-1,1,0,160,0,75,-1,1000,457.0,161.0,0,-11.36,-11.52
55,4.386,46.94,0.0286,0.3594,0,0,0,2,-1,1,0,160,0,75,-1,1000,314.0,65.0,0,-10.78,-11.26
56,4.431,45.31,0.0369,0.3326,0,0,0,0,-1,1,0,160,0,75,-1,1000,262.0,1.0,0,-9.98,-10.81
57,4.478,46.36,0.0349,0.3405,0,0,0,0,-1,1,0,160,0,75,-1,1000,290.0,0.0,0,-10.22,-10.6
58,4.524,46.64,0.0491,0.3151,0,0,0,0,-1,1,0,160,0,75,-1,1000,360.0,1.0,0,-9.45,-10.2
59,4.576,51.66,0.0401,0.3128,0,0,0,0,-1,1,0,160,0,75,-1,1000,300.0,2.0,0,-9.38,-9.92
60,4.62,43.94,0.0464,0.2844,0,0,0,0,-1,1,0,160,0,75,-1,1000,310.0,5.0,0,0.0,-6.44
61,4.668,47.65,0.0453,0.2766,0,0,0,0,-1,1,0,160,0,75,-1,1000,336.0,1.0,0,0.0,-4.19
62,4.715,46.97,0.0512,0.27,0,0,0,0,-1,1,0,160,0,75,-1,1000,321.0,0.0,0,0.0,-2.72
63,4.765,50.77,0.0584,0.2642,0,0,0,0,-1,1,0,160,0,75,-1,1000,335.0,0.0,0,0.0,-1.77
64,4.809,43.35,0.0612,0.2308,0,0,0,0,-1,1,0,160,0,75,-1,1000,380.0,0.0,0,0.0,-1.15
65,4.853,43.95,0.0581,0.2346,0,0,0,0,-1,1,0,160,0,75,-1,1000,271.0,5.0,0,0.0,-0.75
66,4.9,47.45,0.0568,0.2123,0,0,0,0,-1,1,0,160,0,75,-1,1000,214.0,2.0,0,0.0,-0.49
67,4.942,42.28,0.0584,0.2295,0,0,0,0,-1,1,0,160,0,75,-1,1000,183.0,4.0,0,0.0,-0.32
68,4.985,42.39,0.0625,0.232,0,0,0,0,-1,1,0,160,0,75,-1,1000,106.0,1.0,0,0.0,-0.21
69,5.026,41.15,0.0618,0.2407,0,0,0,0,-1,1,0,160,0,75,-1,1000,29.0,1.0,0,0.0,-0.13
70,5.07,44.46,0.0482,0.2458,0,0,0,0,-1,1,0,160,0,75,-1,1000,25.0,2.0,0,0.0,-0.09
71,5.117,46.46,0.0445,0.2561,0,0,0,0,-1,1,0,160,0,75,-1,1000,33.0,7.0,0,0.0,-0.06
72,5.16,43.2,0.0536,0.2436,0,0,0,0,-1,1,0,160,0,75,-1,1000,34.0,1.0,0,0.0,-0.04
73,5.21,49.39,0.0488,0.2566,0,0,0,0,-1,1,0,160,0,75,-1,1000,9.0,2.0,0,0.0,-0.02
74,5.255,45.32,0.0452,0.2603,0,0,0,0,-1,1,0,160,0,75,-1,1000,32.0,9.0,0,0.0,-0.02
75,5.3,44.76,0.0384,0.2745,0,0,0,0,-1,1,0,160,0,75,-1,1000,24.0,4.0,0,0.0,-0.01
76,5.346,45.92,0.0398,0.2852,0,0,0,0,-1,1,0,160,0,75,-1,1000,32.0,3.0,0,0.0,-0.01
77,5.393,47.18,0.0365,0.2885,0,0,0,0,-1,1,0,160,0,75,-1,1000,27.0,2.0,0,0.0,-0.0
78,5.442,49.66,0.0367,0.2934,0,0,0,0,-1,1,0,160,0,75,-1,1000,36.0,5.0,0,0.0,-0.0
79,5.494,51.79,0.034,0.3127,0,0,0,0,-1,1,0,160,0,75,-1,1000,30.0,1.0,0,-9.38,-3.29
80,5.538,43.73,0.0309,0.3098,0,0,0,0,-1,1,0,160,0,75,-1,1000,31.0,2.0,0,-9.29,-5.39
81,5.584,45.74,0.0327,0.3286,0,0,0,0,-1,1,0,160,0,75,-1,1000,41.0,0.0,0,-9.86,-6.95
82,5.629,45.37,0.0347,0.3262,0,0,0,0,-1,1,0,160,0,75,-1,1000,32.0,5.0,0,-9.79,-7.94
83,5.678,49.05,0.0289,0.348,0,0,0,0,-1,1,0,160,0,75,-1,1000,29.0,3.0,0,-10.44,-8.82
84,5.731,52.74,0.0311,0.3498,0,0,0,0,-1,1,0,160,0,75,-1,1000,29.0,3.0,0,-10.5,-9.41
85,5.783,52.51,0.0269,0.3616,0,0,0,0,-1,1,0,160,0,75,-1,1000,23.0,7.0,0,-10.85,-9.91
86,5.828,44.23,0.0284,0.3664,0,0,0,0,-1,1,0,160,0,75,-1,1000,28.0,9.0,0,-10.99,-10.29
87,5.873,45.52,0.0271,0.366,0,0,0,0,-1,1,0,160,0,75,-1,1000,24.0,4.0,0,-10.98,-10.53
88,5.919,46.22,0.0253,0.3441,0,0,0,0,-1,1,0,160,0,75,-1,1000,35.0,8.0,0,-10.32,-10.46
89,5.965,45.52,0.0305,0.362,0,0,0,0,-1,1,0,160,0,75,-1,1000,20.0,5.0,0,-10.86,-10.6
90,6.018,52.79,0.0364,0.3645,0,0,0,0,-1,1,0,160,0,75,-1,1000,37.0,7.0,0,-10.93,-10.72
91,6.062,44.66,0.0377,0.3616,0,0,0,0,-1,1,0,160,0,75,-1,1000,34.0,8.0,0,-10.85,-10.76
