cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,traffic_light,target_x,target_y,target_area,target_type,parking_area,purple_left,purple_right,Err,dir_raw,dir_cmd
1,0.037,0.0,0.0767,0.0437,0,0,0,0,0,0,-1,160,0,75,-1,12224,11440.0,689.0,0,0.0,0.0
2,0.089,52.21,0.1204,0.0995,0,0,0,0,0,0,-1,160,0,75,-1,11947,11222.0,698.0,0,0.0,0.0
3,0.136,47.09,0.117,0.1024,0,0,0,0,0,0,-1,160,0,75,-1,11855,11161.0,694.0,0,0.0,0.0
4,0.185,49.23,0.1316,0.1001,0,0,0,0,0,0,-1,160,0,75,-1,11944,10899.0,1130.0,0,0.0,0.0
5,0.234,48.97,0.1339,0.1018,0,0,0,0,0,0,-1,160,0,75,-1,12143,10972.0,1211.0,0,0.0,0.0
6,0.278,43.26,0.1355,0.1042,0,0,0,0,0,0,-1,160,0,75,-1,12162,10913.0,1209.0,0,0.0,0.0
7,0.324,46.48,0.1377,0.1073,0,0,0,0,0,0,-1,160,0,75,-1,12111,10953.0,1233.0,0,0.0,0.0
8,0.366,42.07,0.1326,0.103,0,0,0,0,0,0,-1,160,0,75,-1,12041,10873.0,1222.0,0,0.0,0.0
9,1.967,1600.5,0.3759,0.0994,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,27.0,0,11.28,3.95
10,2.009,41.97,0.4232,0.107,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,73.0,0,12.7,7.01
11,2.051,42.82,0.4445,0.1008,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,74.0,0,13.33,9.22
12,2.093,41.5,0.4665,0.1067,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,32.0,0,13.99,10.89
13,2.137,44.02,0.4563,0.1055,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,67.0,0,13.69,11.87
14,2.185,48.0,0.4675,0.1054,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,53.0,0,14.03,12.63
15,2.228,43.59,0.4696,0.1082,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,64.0,0,14.09,13.14
16,2.277,48.34,0.4695,0.1088,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,82.0,0,14.09,13.47
17,2.322,45.18,0.4527,0.1118,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,68.0,0,13.58,13.51
18,2.373,50.57,0.4527,0.1104,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,67.0,0,13.58,13.53
19,2.419,46.67,0.4348,0.1121,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,78.0,0,13.05,13.36
