cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,traffic_light,target_x,target_y,target_area,target_type,parking_area,purple_left,purple_right,Err,dir_raw,dir_cmd
1,0.078,0.0,0.1773,0.093,0,0,0,0,0,0,-1,160,0,75,-1,13916,10521.0,3276.0,0,0.0,0.0
2,0.131,53.65,0.1799,0.0901,0,0,0,0,0,0,-1,160,0,75,-1,14192,10562.0,3306.0,0,0.0,0.0
3,0.178,46.42,0.1848,0.0834,0,0,0,0,0,0,-1,160,0,75,-1,14157,10474.0,3403.0,0,0.0,0.0
4,0.235,56.84,0.2022,0.0839,0,0,569,0,0,0,-1,160,0,75,-1,14074,10105.0,3898.0,0,0.0,0.0
5,0.278,43.1,0.2052,0.0938,0,0,0,0,0,0,-1,160,0,75,-1,14248,10136.0,3951.0,0,0.0,0.0
6,0.328,50.25,0.2013,0.0899,0,0,0,0,0,0,-1,160,0,75,-1,14177,10197.0,3928.0,0,0.0,0.0
7,0.373,45.31,0.2005,0.0956,0,0,0,0,0,0,-1,160,0,75,-1,14211,10095.0,3938.0,0,0.0,0.0
8,0.424,51.2,0.2019,0.0954,0,0,0,0,0,0,-1,160,0,75,-1,14245,10246.0,3904.0,0,0.0,0.0
9,2.025,1600.73,0.3224,0.1086,0,0,834,0,1,0,-1,160,0,75,-1,1000,0.0,43.0,0,9.67,3.39
10,2.07,44.54,0.3433,0.0972,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,43.0,0,10.3,5.8
11,2.117,47.22,0.3572,0.092,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,11.0,0,10.72,7.52
12,2.168,51.09,0.3748,0.0992,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,46.0,0,11.25,8.83
13,2.213,45.33,0.3742,0.1032,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,41.0,0,11.23,9.67
14,2.261,47.95,0.3746,0.1041,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,42.0,0,11.24,10.22
15,2.303,41.94,0.3743,0.1007,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,28.0,0,11.23,10.57
16,2.343,40.18,0.3766,0.1038,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,38.0,0,11.3,10.83
17,2.392,48.85,0.3725,0.1021,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,41.0,0,11.18,10.95
18,2.436,43.89,0.3625,0.1019,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,32.0,0,10.88,10.92
19,2.488,52.27,0.3531,0.1056,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,41.0,0,10.59,10.81
20,2.532,43.54,0.3341,0.1079,0,0,0,0,1,0,-1,252,17,403,0,1000,0.0,42.0,282,10.02,10.53
21,2.573,41.21,0.3151,0.0914,0,0,1009,1,1,0,-1,248,17,450,0,1000,0.0,28.0,278,9.45,10.15
22,2.617,43.7,0.2973,0.0934,0,0,973,1,1,0,-1,160,0,75,-1,1000,0.0,68.0,0,0.0,6.6
23,2.66,43.21,0.2877,0.0886,0,0,996,1,1,0,-1,241,17,500,0,1000,0.0,33.0,271,13.55,9.03
24,2.705,44.41,0.2643,0.0803,0,0,0,2,1,1,0,237,17,525,0,1000,0.0,27.0,267,13.35,10.54
25,2.752,47.33,0.2498,0.088,0,0,1028,1,1,1,0,160,0,75,-1,1000,0.0,61.0,0,0.0,6.85
26,2.798,46.3,0.2466,0.089,0,0,1127,1,1,1,0,160,0,75,-1,1000,0.0,29.0,0,0.0,4.45
27,2.842,43.6,0.2387,0.0915,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,53.0,0,0.0,2.9
28,2.887,45.51,0.2194,0.0937,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,46.0,0,0.0,1.88
29,2.93,42.77,0.209,0.1074,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,34.0,0,0.0,1.22
30,2.972,41.63,0.1991,0.1015,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,31.0,0,0.0,0.8
31,3.015,43.11,0.188,0.102,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,51.0,0,0.0,0.52
32,3.059,44.66,0.1793,0.1084,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,41.0,0,0.0,0.34
33,3.109,50.06,0.1744,0.1006,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,72.0,0,0.0,0.22
34,3.152,42.66,0.1689,0.1072,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,50.0,0,0.0,0.14
35,3.202,49.8,0.1585,0.1086,0,0,0,0,1,1,0,160,0,75,-1,1000,0.0,45.0,0,0.0,0.09
36,3.241,39.02,0.1509,0.1111,0,0,0,0,1,1,0,160,0,75,-1,1000,4.0,59.0,0,0.0,0.06
37,3.293,51.82,0.1403,0.1261,0,0,0,0,1,1,0,160,0,75,-1,1000,8.0,47.0,0,0.0,0.04
38,3.335,42.6,0.1295,0.1405,0,0,2972,1,1,1,0,160,0,75,-1,1000,28.0,38.0,0,0.0,0.03
39,3.383,47.65,0.1256,0.1371,0,0,3299,1,1,1,0,160,0,75,-1,1000,42.0,45.0,0,0.0,0.02
40,3.43,46.94,0.1247,0.1477,0,0,3496,1,1,1,0,136,32,2394,0,1000,90.0,16.0,166,8.3,2.92
41,3.478,47.62,0.1249,0.1186,0,0,4036,1,1,1,0,126,35,2814,0,1000,134.0,1.0,156,7.8,4.63
42,3.524,46.46,0.1236,0.1357,0,0,4202,1,1,1,0,112,39,3216,0,1000,175.0,3.0,142,7.1,5.49
43,3.564,40.01,0.1335,0.1417,0,0,4820,1,1,1,0,160,0,75,-1,1000,229.0,1.0,0,0.0,3.57
44,3.615,51.21,0.1425,0.158,0,0,5455,1,1,1,0,160,0,75,-1,1000,377.0,0.0,0,0.0,2.32
45,3.665,49.56,0.1565,0.1655,0,0,6137,1,1,1,0,160,0,75,-1,1000,552.0,0.0,0,0.0,1.51
46,3.713,47.72,0.1497,0.1622,0,0,6735,1,1,1,0,160,0,75,-1,1000,411.0,2.0,0,0.0,0.98
47,3.76,47.8,0.1545,0.184,0,0,5415,1,1,1,0,160,0,75,-1,1000,544.0,0.0,0,0.0,0.64
48,3.813,52.86,0.1513,0.2103,0,0,3536,1,1,1,0,160,0,75,-1,1000,343.0,0.0,0,0.0,0.41
49,3.86,46.79,0.1416,0.2335,0,0,789,0,1,1,0,10,104,687,0,1000,144.0,0.0,-7.0,-0.35,0.15
50,3.908,48.5,0.1188,0.2655,0,0,834,0,1,1,0,160,0,75,-1,1000,71.0,0.0,0,0.0,0.1
51,3.954,45.89,0.1076,0.3013,0,0,922,1,1,1,0,160,0,75,-1,1000,14.0,0.0,0,-12.05,-4.16
52,4.006,51.28,0.1071,0.3366,0,0,976,1,1,1,0,160,0,75,-1,1000,21.0,0.0,0,-13.46,-7.41
53,4.054,47.99,0.0966,0.3947,0,0,1023,1,1,1,0,69,15,401,0,1000,17.0,0.0,99,-15.79,-10.34
54,4.1,46.34,0.0937,0.4377,0,0,1109,1,1,1,0,61,17,417,0,1000,25.0,0.0,91,-17.51,-12.85
55,4.149,49.32,0.1057,0.4895,0,0,1254,1,1,1,0,55,19,442,0,1000,30.0,0.0,85,-19.58,-15.21
56,4.197,47.34,0.0907,0.497,215,0,1410,1,1,1,0,53,18,459,0,1000,33.0,0.0,83,-19.88,-16.84
57,4.242,45.75,0.0921,0.5359,301,0,1661,1,1,1,0,52,19,479,0,1000,29.0,0.0,82,-21.43,-18.45
58,4.292,49.59,0.0933,0.545,422,0,1955,1,1,1,0,53,19,513,0,1000,28.0,0.0,83,-21.8,-19.62
59,4.343,50.91,0.0963,0.543,514,0,2337,1,1,1,0,54,19,536,0,1000,37.0,0.0,84,-21.72,-20.36
60,4.388,45.52,0.1131,0.5355,595,0,2599,1,1,1,0,56,20,584,0,1000,27.0,0.0,86,-21.42,-20.73
61,4.437,48.73,0.126,0.5004,829,1,1756,1,1,1,0,62,20,609,0,1000,44.0,2.0,92,-20.02,-20.48
62,4.477,39.45,0.1386,0.4415,1064,1,0,2,1,2,0,70,21,670,0,1000,33.0,1.0,100,-17.66,-19.49
63,4.527,50.5,0.147,0.3546,1518,1,0,0,1,2,0,79,21,728,0,1000,35.0,2.0,109,-14.18,-17.63
64,4.574,47.17,0.1479,0.2386,1985,1,0,0,1,2,0,88,21,798,0,1000,33.0,18.0,118,5.9,-9.4
65,4.633,58.53,0.1537,0.1399,2492,1,0,0,1,2,0,97,21,892,0,1000,28.0,22.0,127,6.35,-3.89
66,4.677,44.26,0.1532,0.1065,1593,1,0,0,1,2,0,104,21,976,0,1000,38.0,38.0,134,6.7,-0.18
67,4.728,50.98,0.1545,0.0976,967,1,0,0,1,2,0,107,21,1049,0,1000,52.0,51.0,137,6.85,2.28
68,4.772,44.47,0.1585,0.1159,829,1,0,0,1,2,0,109,23,1159,0,1000,38.0,20.0,139,6.95,3.91
69,4.831,58.02,0.1535,0.1131,0,2,0,0,1,2,0,107,24,1257,0,1000,50.0,19.0,137,6.85,4.94
70,4.87,39.82,0.1589,0.1189,0,0,0,0,1,2,0,99,26,1444,0,1000,43.0,23.0,129,6.45,5.47
71,4.918,47.38,0.1555,0.1065,0,0,0,0,1,2,0,94,28,1557,0,1000,27.0,22.0,124,6.2,5.73
72,4.965,47.68,0.1555,0.0968,0,0,0,0,1,2,0,85,30,1668,0,1000,56.0,47.0,115,5.75,5.73
73,5.008,43.06,0.1522,0.097,0,0,0,0,1,2,0,76,33,1806,0,1000,87.0,38.0,106,5.3,5.58
74,5.057,48.29,0.1521,0.1042,0,0,0,0,1,2,0,65,36,1965,0,1000,101.0,49.0,95,4.75,5.29
75,5.12,63.09,0.1469,0.0956,0,0,0,0,1,2,0,53,39,2215,0,1000,91.0,43.0,83,4.15,4.89
76,5.177,57.28,0.1529,0.097,0,0,0,0,1,2,0,35,45,2511,0,1000,157.0,31.0,65,3.25,4.32
77,5.225,48.28,0.1637,0.0882,0,0,0,0,1,2,0,22,52,2654,0,1000,161.0,37.0,52,2.6,3.72
78,5.272,46.65,0.1817,0.0907,0,0,0,0,1,2,0,12,64,1841,0,1000,109.0,36.0,42,2.1,3.15
79,5.319,47.32,0.1926,0.0908,0,0,0,0,1,2,0,9,73,1255,0,1000,81.0,36.0,39,1.95,2.73
80,5.361,42.04,0.2014,0.0895,0,0,0,0,1,2,0,6,93,461,0,1000,20.0,31.0,36,1.8,2.4
81,5.403,41.24,0.2,0.0883,0,0,0,0,1,2,0,240,8,99,1,1000,14.0,41.0,0,0.0,1.56
82,5.449,46.33,0.2009,0.0895,0,0,0,0,1,2,0,160,0,75,-1,1000,0.0,32.0,0,0.0,1.02
83,5.495,45.87,0.2046,0.0873,0,0,0,0,1,2,0,236,8,114,1,1000,0.0,53.0,0,0.0,0.66
84,5.541,45.85,0.2041,0.0799,0,0,0,0,1,2,0,234,8,112,1,1000,0.0,33.0,0,0.0,0.43
85,5.587,46.12,0.2101,0.086,0,0,0,0,1,2,0,232,8,122,1,1000,0.0,32.0,0,0.0,0.28
